11:46
3.0e-7
11:59
3.4e-7
12:14
3.5e-7
13:26
4.6e-7
13:40
4.8e-7
14:07
5.0e-7
14:37
6.1e-7
14:47
6.8e-7
15:03
7.3e-7
15:24
8.2e-7
15:45
1.1e-6
16:11
1.1e-6
16:34
1.2e-6
17:05
1.2e-6
17:21
1.2e-6
18:09
1.3e-6
18:39
1.6e-6
18:59
1.8e-6
19:30
2.2e-6
20:15
2.2e-6
21:23
2.4e-6
