4.270076751708984375e-03,7.550872972632084839e+02
5.018628120422363281e+00,7.550872975419841850e+02
1.005597996711730957e+01,7.550872972683879425e+02
1.509240007400512695e+01,7.550872976821957536e+02
2.013194155693054199e+01,7.550872971330960581e+02
2.516940140724182129e+01,7.550872991004741834e+02
3.020694398880004883e+01,7.550872993200260908e+02
3.524017024040222168e+01,7.550872992025050507e+02
4.027411246299743652e+01,7.550872994322345448e+02
4.531462407112121582e+01,7.550873007231617748e+02
5.035087490081787109e+01,7.550872996281315181e+02
5.539496970176696777e+01,7.550872993572577343e+02
6.042986917495727539e+01,7.550873006723145409e+02
6.546845960617065430e+01,7.550873011157447081e+02
7.050459623336791992e+01,7.550873027398974955e+02
7.554462456703186035e+01,7.550873029631453619e+02
8.057885003089904785e+01,7.550873039699843048e+02
8.561928200721740723e+01,7.550873035263236943e+02
9.065001702308654785e+01,7.550873040300156163e+02
9.568094038963317871e+01,7.550873043379684759e+02
1.007198376655578613e+02,7.550873048170354878e+02
1.057624285221099854e+02,7.550873056298096344e+02
1.107985494136810303e+02,7.550873058297192983e+02
1.158250935077667236e+02,7.550873060605603087e+02
1.208632326126098633e+02,7.550873067424129204e+02
1.258970470428466797e+02,7.550873065674493319e+02
1.309337627887725830e+02,7.550873086780987933e+02
1.359662690162658691e+02,7.550873098369768286e+02
1.410081329345703125e+02,7.550873110948250542e+02
1.460419394969940186e+02,7.550873115813527647e+02
1.510763764381408691e+02,7.550873117847859248e+02
1.561178457736968994e+02,7.550873121045341350e+02
1.611566300392150879e+02,7.550873129436459976e+02
1.661947166919708252e+02,7.550873147899080777e+02
1.712355694770812988e+02,7.550873132032187414e+02
1.762839410305023193e+02,7.550873145795355867e+02
1.813246240615844727e+02,7.550873165896936143e+02
1.863644523620605469e+02,7.550873165603486541e+02
1.914019415378570557e+02,7.550873168556003066e+02
1.964417893886566162e+02,7.550873186824595678e+02
2.014808068275451660e+02,7.550873188705674011e+02
2.065195174217224121e+02,7.550873188343028914e+02
2.115518264770507812e+02,7.550873196738175466e+02
2.165881941318511963e+02,7.550873183240804565e+02
2.216279416084289551e+02,7.550873192408409977e+02
2.266549878120422363e+02,7.550873192364158513e+02
2.316849942207336426e+02,7.550873206491735345e+02
2.367190251350402832e+02,7.550873197062513782e+02
2.417567725181579590e+02,7.550873196542079313e+02
2.467958505153656006e+02,7.550873183037926992e+02
2.518334336280822754e+02,7.550873188771441846e+02
2.568635621070861816e+02,7.550873190128921806e+02
2.619019868373870850e+02,7.550873204668281460e+02
2.669400146007537842e+02,7.550873212430475405e+02
2.719773344993591309e+02,7.550873218711315076e+02
2.770159425735473633e+02,7.550873231061393653e+02
2.820529317855834961e+02,7.550873244640371240e+02
2.870850186347961426e+02,7.550873235838488426e+02
2.921239244937896729e+02,7.550873256756664205e+02
2.971598410606384277e+02,7.550873244099010435e+02
3.021967206001281738e+02,7.550873256304810184e+02
3.072285130023956299e+02,7.550873259938853153e+02
3.122756297588348389e+02,7.550873267775635895e+02
3.173119370937347412e+02,7.550873270786375997e+02
